concept:name,mean_waiting_time_m,mean_processing_time_h
W_Call after offers - Incident No. Application_869697161,4456.95078,
W_Call incomplete files - Incident No. Application_1719533825,4340.92395,
W_Complete application - Incident No. Application_771457346,4309.87463,
W_Call after offers - Incident No. Application_2122458815,4262.30182,
W_Call incomplete files - Incident No. Application_503186233,4201.22065,
W_Call after offers - Incident No. Application_23849387,4132.75728,
W_Complete application - Incident No. Application_157101926,4033.19727,
W_Call incomplete files - Incident No. Application_1681194502,4031.58202,
O_Accepted - Incident No. Application_745883138,3968.40882,
W_Complete application - Incident No. Application_1381986084,3758.08853,
O_Accepted,3596.64799,
O_Acc.,3373.7112,
A_Denied,3325.04429,
A_Den.,3211.10864,
W_Call incomplete files - Incident No. Application_1767669319,3093.04058,
W_Complete application - Incident No. Application_1090386869,3038.77455,
A_Accepted - Incident No. Application_82681432,2966.15008,
W_Complete application - Incident No. Application_1306217976,2956.98042,
W_Call after offers - Incident No. Application_798560603,2940.28043,
O_Accepted - Incident No. Application_470246220,2921.54252,
W_Shortened completion ,2905.82981,
W_Complete application - Incident No. Application_746936932,2875.96813,
W_Call after offers - Incident No. Application_790741259,2818.86878,
O_Accepted - Incident No. Application_763197226,2812.60448,
O_Accepted - Incident No. Application_1374020543,2777.52247,
W_Call incomplete files - Incident No. Application_621823153,2722.71272,
W_Call incomplete files - Incident No. Application_2050505348,2691.99665,
W_Call incomplete files - Incident No. Application_800246704,2581.59008,
W_Complete application - Incident No. Application_1099430757,2560.19405,
W_Handle leads - Incident No. Application_1433657952,2545.32898,
W_Call incomplete files - Incident No. Application_1551687021,2533.11462,
W_Complete application - Incident No. Application_250438332,2520.26078,
W_Call after offers - Incident No. Application_188759323,2516.82572,
W_Complete application - Incident No. Application_1711825789,2458.47132,
A_Acc. - Incident No. Application_1803710713,2432.69922,
W_Call after offers - Incident No. Application_2122927060,2370.71603,
O_Accepted - Incident No. Application_1427125327,2365.39345,
A_Accepted - Incident No. Application_585463477,2319.83107,
W_Call incompl. files - Incident No. Application_640801271,2277.1163,
O_Accepted - Incident No. Application_488502263,1872.98585,
W_Call after ofrs.,1862.30394,0.024
W_Call incomplete files - Incident No. Application_140236565,1851.28598,
O_Accepted - Incident No. Application_112267181,1823.87882,
W_Complete application - Incident No. Application_1295664079,1805.5453,
W_Call after offers,1805.13259,30.14267
O_Create Offer - Incident No. Application_1437733107,1736.58442,
W_Call after offers - Incident No. Application_1396135024,1707.9196,
W_Call incomplete files - Incident No. Application_7185118,1686.5448,
W_Call incomplete files - Incident No. Application_592450149,1628.26472,
W_Complete application - Incident No. Application_196729550,1575.9302,
W_Call after offers - Incident No. Application_1708594599,1575.15977,
W_Complete application - Incident No. Application_1484214444,1487.337,
W_Complete application - Incident No. Application_642840882,1486.95867,
W_Call incomplete files - Incident No. Application_1901663183,1467.52255,
W_Call after offers - Incident No. Application_831338763,1377.10312,
W_Complete application - Incident No. Application_1751378977,1375.15302,
W_Call after offers - Incident No. Application_2131314372,1364.8643,
O_Accepted - Incident No. Application_913332117,1342.04842,
W_Call incompl. files - Incident No. Application_428362155,1333.37627,
W_Call incomplete files - Incident No. Application_1190160893,1282.62727,
W_Complete application - Incident No. Application_1641014120,1276.98827,
O_Accepted - Incident No. Application_222177549,1241.19607,
W_Call after offers - Incident No. Application_977532214,1232.49123,
W_Complete application - Incident No. Application_1722024794,1194.44528,
W_Complete application - Incident No. Application_1104470911,1149.74407,
A_Accepted - Incident No. Application_1389621581,1141.5532,
W_Call incomplete files - Incident No. Application_1923175458,1139.43268,
A_Accepted - Incident No. Application_88534754,1134.8936,
W_Call incompl. files - Incident No. Application_627088243,1101.19557,
W_Call incomplete files - Incident No. Application_1764180224,1088.71643,
W_Complete application - Incident No. Application_1200224145,1039.92148,
O_Accepted - Incident No. Application_1512468457,1034.35388,
W_Call incomplete files - Incident No. Application_972486124,1018.87452,
W_Call incomplete files - Incident No. Application_62646212,977.47452,
O_Create Off.,972.84867,
W_Handle leads - Incident No. Application_1077940062,969.55558,
W_Complete application - Incident No. Application_981075543,946.8116,
O_Create Offer,919.1749,
W_Call incompl. files,871.86957,79.93158
W_Call incomplete files,850.73647,176.66866
W_Complete application - Incident No. Application_1651605355,837.15057,
A_Denied - Incident No. Application_1076597906,832.34352,
O_Accepted - Incident No. Application_381687362,805.46663,
W_Assess pot. fraud,803.76854,76.30572
W_Call incomplete files - Incident No. Application_1680315596,779.46952,
W_Call incomplete files - Incident No. Application_478218443,768.94425,
W_Assess potential fraud,766.81282,94.18244
W_Complete application - Incident No. Application_2123334132,646.08715,
W_Complete application - Incident No. Application_1548619869,635.33243,
A_Acc. - Incident No. Application_1882710825,549.22948,
W_Call incomplete files - Incident No. Application_168062377,519.16783,
A_Accepted - Incident No. Application_998600110,498.7415,
A_Acc.,495.11081,
W_Call after offers - Incident No. Application_1035361851,489.14365,
A_Accepted,470.45297,
W_Finish application,379.75728,7.57985
W_Complete application,360.03015,9.42937
W_Call incomplete files - Incident No. Application_200111985,354.48527,
W_Finalize application,354.2903,10.686
W_Call incomplete files - Incident No. Application_752995473,341.82078,
W_Complete appl.,322.14378,7.18975
W_Call incomplete files - Incident No. Application_1607208848,308.6393,
W_Call incomplete files - Incident No. Application_547028169,289.12293,
W_Call incomplete files - Incident No. Application_1717256589,286.81287,
W_Call incomplete files - Incident No. Application_1434353417,275.48773,
W_Call incomplete files - Incident No. Application_1851550771,273.96945,
O_Accepted - Incident No. Application_372969138,266.84697,
O_Accepted - Incident No. Application_804644820,266.64407,
W_Call incomplete files - Incident No. Application_566145527,263.01998,
W_Call incomplete files - Incident No. Application_941373642,257.346,
O_Accepted - Incident No. Application_861062246,239.67588,
O_Accepted - Incident No. Application_711722413,238.23448,
W_Complete application - Incident No. Application_1847062642,232.75877,
W_Call after offers - Incident No. Application_1720608833,203.31157,
W_Call incomplete files - Incident No. Application_264806764,200.66023,
W_Call incomplete files - Incident No. Application_257396106,200.20575,
W_Call incomplete files - Incident No. Application_2041082181,199.09861,
W_Call incomplete files - Incident No. Application_566987449,198.7471,
W_Call after offers - Incident No. Application_1257331802,197.86608,
W_Call incomplete files - Incident No. Application_1813836988,193.20453,
W_Call incomplete files - Incident No. Application_30101703,189.56293,
O_Returned,188.95076,
W_Call incomplete files - Incident No. Application_631788418,182.44943,
W_Call incomplete files - Incident No. Application_2057050113,182.31012,
O_Create Offer - Incident No. Application_409611296,180.39838,
O_Ret.,165.67392,
O_Returned - Incident No. Application_1737256659,161.33885,
W_Call incomplete files - Incident No. Application_2055899498,158.07692,
W_Call incomplete files - Incident No. Application_1448073409,140.19038,
O_Accepted - Incident No. Application_899683257,139.05562,
W_Call incomplete files - Incident No. Application_458796160,138.78848,
A_Denied - Incident No. Application_1972029705,134.90823,
W_Call incomplete files - Incident No. Application_1733065566,122.69847,
A_Accepted - Incident No. Application_1813935192,121.87655,
W_Complete application - Incident No. Application_464616486,104.29433,
W_Handle leads - Incident No. Application_1453565909,93.05255,
W_Call incomplete files - Incident No. Application_1659102703,88.4737,
W_Call incomplete files - Incident No. Application_833691300,86.70455,
W_Call incomplete files - Incident No. Application_967284572,84.38475,
A_Accepted - Incident No. Application_1459536558,84.36968,
A_Accepted - Incident No. Application_1438767685,84.09107,
W_Call incomplete files - Incident No. Application_2012114184,83.87252,
W_Call incomplete files - Incident No. Application_861868988,76.73833,
O_Accepted - Incident No. Application_432952688,76.26133,
W_Call incomplete files - Incident No. Application_1338365283,74.0293,
O_Cancelled,72.1769,
W_Call incomplete files - Incident No. Application_476285944,69.65782,
O_Accepted - Incident No. Application_755070866,66.08745,
W_Call incomplete files - Incident No. Application_649819908,63.35658,
A_Accepted - Incident No. Application_2055304184,56.36817,
W_Call incomplete files - Incident No. Application_246862903,53.24377,
O_Canc.,46.80639,
W_Call incomplete files - Incident No. Application_1712897704,41.26352,
W_Call incomplete files - Incident No. Application_1792762589,39.80242,
W_Handle lds.,31.22052,1.63107
W_Handle leads,28.48085,0.39151
O_Create Offer - Incident No. Application_150041336,25.71447,
O_Sent (mail and onl.),23.48168,
W_Call incomplete files - Incident No. Application_1309921947,23.08172,
W_Call incomplete files - Incident No. Application_313331619,21.09112,
W_Complete application - Incident No. Application_129452254,20.62435,
O_Create Offer - Incident No. Application_594453320,18.63808,
O_Accepted - Incident No. Application_1192098372,18.38315,
O_Create Offer - Incident No. Application_158313942,16.4071,
W_Call incomplete files - Incident No. Application_1793151297,16.10298,
W_Complete application - Incident No. Application_1870612341,16.08695,
W_Call incomplete files - Incident No. Application_886146031,15.93458,
W_Call after ofrs. - Incident No. Application_1769401425,14.90357,
O_Sent (online only),14.85527,
A_Accepted - Incident No. Application_1240839960,14.74385,
A_Accepted - Incident No. Application_474390990,14.66505,
A_Accepted - Incident No. Application_1139762596,14.18273,
W_Complete application - Incident No. Application_1226881790,14.04992,
O_Create Offer - Incident No. Application_416522283,13.6332,
W_Call incomplete files - Incident No. Application_2120784286,11.88137,
W_Call incomplete files - Incident No. Application_2104220031,11.806,
W_Call after offers - Incident No. Application_174682533,11.66432,
A_Accepted - Incident No. Application_1214212874,11.42665,
W_Call incomplete files - Incident No. Application_106495581,11.21463,
W_Call incomplete files - Incident No. Application_1405679737,10.73647,
W_Call incomplete files - Incident No. Application_543040758,10.6254,
W_Call after offers - Incident No. Application_1051009052,9.0098,
A_Accepted - Incident No. Application_588477188,8.83077,
O_Sent (mail and online),8.79675,
W_Handle lds. - Incident No. Application_1765444083,8.7775,
A_Accepted - Incident No. Application_110483872,8.42407,
O_Create Offer - Incident No. Application_1957976550,8.4161,
A_Accepted - Incident No. Application_1411667328,8.37442,
W_Call incompl. files - Incident No. Application_1319304473,8.34117,
W_Complete application - Incident No. Application_212230062,8.33875,
O_Create Offer - Incident No. Application_852842986,8.315,
O_Create Offer - Incident No. Application_1364761716,8.16438,
A_Accepted - Incident No. Application_728696828,8.07902,
A_Accepted - Incident No. Application_1861145766,7.96405,
O_Create Off. - Incident No. Application_574588548,7.88762,
W_Call incomplete files - Incident No. Application_1497767483,7.7923,
O_Accepted - Incident No. Application_1466974461,7.77462,
O_Create Offer - Incident No. Application_1763917951,7.37368,
A_Accepted - Incident No. Application_2012801414,7.21452,
W_Call incomplete files - Incident No. Application_348671098,7.21073,
W_Call incomplete files - Incident No. Application_1577235925,7.08962,
W_Complete application - Incident No. Application_196405104,6.98232,
O_Create Offer - Incident No. Application_1947659907,6.95982,
W_Call after offers - Incident No. Application_860656917,6.95063,
W_Handle leads - Incident No. Application_800564582,6.79167,
A_Accepted - Incident No. Application_2132219362,6.70017,
W_Call incomplete files - Incident No. Application_23443236,6.66465,
O_Create Offer - Incident No. Application_1908714490,6.42235,
W_Call incomplete files - Incident No. Application_2144168642,6.4169,
O_Create Offer - Incident No. Application_1493375085,6.22722,
W_Complete application - Incident No. Application_2135704432,6.15692,
O_Create Offer - Incident No. Application_488720885,6.05048,
W_Complete application - Incident No. Application_153741460,5.95345,
W_Call incomplete files - Incident No. Application_358302705,5.89835,
W_Call after offers - Incident No. Application_1537097696,5.76412,
W_Call incomplete files - Incident No. Application_292846254,5.55837,
A_Accepted - Incident No. Application_818836958,5.39002,
O_Sent (mail and online) - Incident No. Application_650870312,5.28193,
O_Create Offer - Incident No. Application_505823301,5.17018,
O_Create Offer - Incident No. Application_1751900898,5.03508,
W_Call after offers - Incident No. Application_711817090,4.962,
A_Acc. - Incident No. Application_2057810216,4.91298,
W_Call incomplete files - Incident No. Application_1662637174,4.90848,
O_Create Offer - Incident No. Application_237250572,4.88937,
W_Complete application - Incident No. Application_557828251,4.81688,
O_Create Offer - Incident No. Application_2041093105,4.80412,
W_Call incomplete files - Incident No. Application_434425922,4.76067,
W_Call after offers - Incident No. Application_782935304,4.6409,
W_Handle leads - Incident No. Application_1747078975,4.52638,
W_Call incomplete files - Incident No. Application_1078283655,4.48358,
W_Call incomplete files - Incident No. Application_197976312,4.4196,
W_Call after offers - Incident No. Application_1634183264,4.37502,
W_Complete application - Incident No. Application_619220322,4.27327,
W_Assess potential fraud - Incident No. Application_1220541878,4.19833,
O_Create Offer - Incident No. Application_126706929,4.08505,
A_Accepted - Incident No. Application_503463647,3.99683,
O_Returned - Incident No. Application_1713552898,3.99432,
W_Complete application - Incident No. Application_1631210332,3.9657,
W_Complete appl. - Incident No. Application_682429766,3.92752,
A_Accepted - Incident No. Application_107527808,3.65522,
W_Call after offers - Incident No. Application_1197801543,3.61202,
O_Create Offer - Incident No. Application_281233449,3.53037,
W_Call after offers - Incident No. Application_753441891,3.51698,
W_Call incomplete files - Incident No. Application_1219772874,3.50097,
W_Call incomplete files - Incident No. Application_1775934155,3.26443,
W_Call after offers - Incident No. Application_706201656,3.24193,
O_Sent (mail and online) - Incident No. Application_1762034779,3.17842,
W_Handle leads - Incident No. Application_731054531,3.16323,
W_Call incomplete files - Incident No. Application_279854157,3.06742,
O_Sent (mail and online) - Incident No. Application_1066046865,3.05787,
O_Sent (mail and online) - Incident No. Application_877570141,2.97987,
W_Call after offers - Incident No. Application_437464843,2.94778,
O_Create Offer - Incident No. Application_1120379399,2.90622,
W_Complete application - Incident No. Application_761959932,2.87677,
O_Sent (mail and online) - Incident No. Application_827969862,2.87182,
O_Returned - Incident No. Application_1241622935,2.8256,
W_Call incomplete files - Incident No. Application_932303773,2.79703,
W_Call incomplete files - Incident No. Application_1896104678,2.7663,
W_Call after offers - Incident No. Application_35750569,2.71718,
W_Handle leads - Incident No. Application_597580909,2.71538,
W_Call incompl. files - Incident No. Application_1359397980,2.64675,
W_Call incomplete files - Incident No. Application_892223013,2.62185,
O_Create Offer - Incident No. Application_913188566,2.59227,
W_Complete application - Incident No. Application_182468287,2.56703,
O_Create Offer - Incident No. Application_1525849944,2.55298,
W_Complete application - Incident No. Application_1477327683,2.50007,
W_Call incomplete files - Incident No. Application_1386139411,2.49743,
O_Returned - Incident No. Application_462216549,2.40868,
A_Accepted - Incident No. Application_1313426910,2.4004,
O_Returned - Incident No. Application_1559533192,2.3647,
W_Call after offers - Incident No. Application_2125015329,2.34938,
W_Call after offers - Incident No. Application_1912606962,2.34782,
W_Complete application - Incident No. Application_314744124,2.33842,
W_Call after offers - Incident No. Application_1824440334,2.337,
O_Create Offer - Incident No. Application_1420790923,2.30118,
W_Call incomplete files - Incident No. Application_1200736775,2.29007,
A_Accepted - Incident No. Application_900474462,2.27418,
W_Call after offers - Incident No. Application_1209992293,2.23002,
O_Create Offer - Incident No. Application_1902750510,2.16173,
O_Create Offer - Incident No. Application_1525694,2.11857,
W_Call after offers - Incident No. Application_2141471086,2.10993,
O_Create Offer - Incident No. Application_1037036263,2.09997,
O_Create Off. - Incident No. Application_1990285970,2.0975,
W_Call after offers - Incident No. Application_1413325385,2.09057,
O_Create Off. - Incident No. Application_1072393615,2.05822,
W_Call incomplete files - Incident No. Application_1414403553,2.00772,
W_Call incomplete files - Incident No. Application_1105217525,1.9988,
W_Complete application - Incident No. Application_681495041,1.98373,
W_Call incomplete files - Incident No. Application_809034186,1.97318,
O_Sent (mail and online) - Incident No. Application_1061118395,1.95853,
W_Complete application - Incident No. Application_616416650,1.94338,
W_Call incomplete files - Incident No. Application_1842271625,1.93897,
W_Call after offers - Incident No. Application_1460033187,1.92307,
O_Create Offer - Incident No. Application_1084951999,1.87,
A_Accepted - Incident No. Application_202897239,1.86723,
W_Call after offers - Incident No. Application_74773688,1.86335,
O_Returned - Incident No. Application_1360992150,1.83435,
W_Call after offers - Incident No. Application_1482448782,1.79907,
O_Create Offer - Incident No. Application_428753195,1.7899,
A_Accepted - Incident No. Application_759904947,1.78408,
W_Call after offers - Incident No. Application_1954244581,1.76697,
W_Call incomplete files - Incident No. Application_385432676,1.7625,
W_Call after offers - Incident No. Application_992509096,1.76247,
W_Call after offers - Incident No. Application_1042504407,1.75855,
O_Create Offer - Incident No. Application_132154073,1.72632,
O_Sent (mail and online) - Incident No. Application_631164056,1.68948,
O_Create Offer - Incident No. Application_341208154,1.67132,
W_Call after offers - Incident No. Application_684221857,1.66908,
W_Call after offers - Incident No. Application_1018583202,1.66463,
A_Accepted - Incident No. Application_1434353417,1.65908,
W_Handle leads - Incident No. Application_339541911,1.60548,
W_Complete application - Incident No. Application_210176751,1.58707,
W_Complete application - Incident No. Application_1295607438,1.58117,
O_Ret. - Incident No. Application_345854511,1.57245,
W_Call after offers - Incident No. Application_1213956619,1.56703,
O_Create Offer - Incident No. Application_1485013059,1.5429,
O_Create Offer - Incident No. Application_1233495129,1.523,
O_Sent (mail and online) - Incident No. Application_107058559,1.5227,
W_Call after offers - Incident No. Application_1402501923,1.50152,
O_Sent (mail and online) - Incident No. Application_2065321001,1.45727,
W_Handle leads - Incident No. Application_391525553,1.44612,
W_Handle leads - Incident No. Application_961455404,1.40673,
W_Handle leads - Incident No. Application_1466389629,1.39232,
W_Complete application - Incident No. Application_173122257,1.38512,
W_Complete application - Incident No. Application_1791359571,1.3786,
W_Call incomplete files - Incident No. Application_1898882436,1.3643,
A_Accepted - Incident No. Application_1011007304,1.33585,
W_Call incomplete files - Incident No. Application_1382111001,1.33157,
W_Complete application - Incident No. Application_2009441535,1.3307,
W_Handle leads - Incident No. Application_1253348793,1.31795,
W_Call after offers - Incident No. Application_2040526338,1.31508,
O_Create Offer - Incident No. Application_90538758,1.31445,
O_Create Offer - Incident No. Application_2055211561,1.31408,
W_Handle leads - Incident No. Application_70591371,1.29812,
O_Sent (mail and online) - Incident No. Application_1982226096,1.27355,
W_Call after offers - Incident No. Application_1265784250,1.25667,
W_Handle leads - Incident No. Application_769456413,1.22652,
W_Call incomplete files - Incident No. Application_494772907,1.22135,
O_Sent (onl. only),1.20713,
W_Handle leads - Incident No. Application_725453768,1.19435,
W_Call after ofrs. - Incident No. Application_1804032230,1.19082,
W_Handle leads - Incident No. Application_2086429604,1.18637,
W_Handle leads - Incident No. Application_791095088,1.17995,
W_Call incomplete files - Incident No. Application_499173053,1.16733,
O_Sent (mail and online) - Incident No. Application_1632351206,1.15372,
W_Call incomplete files - Incident No. Application_1606123452,1.12663,
W_Call after offers - Incident No. Application_2131053606,1.1137,
O_Sent (mail and online) - Incident No. Application_1450574246,1.11113,
W_Handle leads - Incident No. Application_1052472769,1.11027,
W_Call incomplete files - Incident No. Application_1892114638,1.10412,
O_Create Off. - Incident No. Application_581248982,1.07305,
W_Call after offers - Incident No. Application_315324597,1.01703,
W_Call after offers - Incident No. Application_177868383,1.00355,
W_Call incomplete files - Incident No. Application_1631137033,0.99635,
W_Complete application - Incident No. Application_960288093,0.99432,
W_Call incomplete files - Incident No. Application_576133101,0.99387,
W_Complete application - Incident No. Application_987445453,0.99345,
W_Handle leads - Incident No. Application_1682029053,0.98402,
W_Call after offers - Incident No. Application_1488933214,0.97763,
W_Handle leads - Incident No. Application_628946937,0.9627,
W_Call after offers - Incident No. Application_673882381,0.94407,
O_Sent (mail and online) - Incident No. Application_962958398,0.93737,
W_Call incomplete files - Incident No. Application_151961393,0.92135,
W_Call after offers - Incident No. Application_2072157411,0.90353,
W_Call after offers - Incident No. Application_1379497552,0.88938,
O_Returned - Incident No. Application_1791914839,0.88533,
W_Complete application - Incident No. Application_935436416,0.8612,
O_Create Offer - Incident No. Application_104848544,0.85993,
W_Call after offers - Incident No. Application_1493226100,0.85258,
W_Call after offers - Incident No. Application_1602818108,0.8499,
W_Handle leads - Incident No. Application_843563066,0.84988,
W_Handle leads - Incident No. Application_1883905628,0.84878,
W_Call after offers - Incident No. Application_1960089660,0.80233,
O_Sent (mail and online) - Incident No. Application_1522107668,0.79668,
O_Create Offer - Incident No. Application_1435594188,0.79047,
O_Create Offer - Incident No. Application_1009604939,0.78387,
W_Handle leads - Incident No. Application_450554189,0.78377,
W_Complete application - Incident No. Application_1473563456,0.77837,
W_Handle leads - Incident No. Application_1291048951,0.76685,
W_Complete application - Incident No. Application_821713164,0.75417,
O_Sent (mail and online) - Incident No. Application_726749790,0.7527,
A_Accepted - Incident No. Application_63129972,0.74322,
O_Returned - Incident No. Application_405187583,0.74108,
W_Call incompl. files - Incident No. Application_668004669,0.73207,
W_Call after offers - Incident No. Application_665435950,0.72835,
W_Handle lds. - Incident No. Application_1598819239,0.72787,
W_Call after offers - Incident No. Application_306348833,0.71287,
W_Complete application - Incident No. Application_1546275434,0.70393,
O_Sent (onl. only) - Incident No. Application_855041381,0.69818,
W_Call incomplete files - Incident No. Application_273273946,0.6929,
O_Create Offer - Incident No. Application_438042117,0.69058,
W_Complete application - Incident No. Application_509076290,0.68698,
O_Sent (mail and online) - Incident No. Application_565872510,0.66798,
W_Complete application - Incident No. Application_1077268062,0.6651,
W_Call incomplete files - Incident No. Application_1269614744,0.66132,
W_Call incomplete files - Incident No. Application_32837773,0.64712,
W_Call after offers - Incident No. Application_1113145199,0.6453,
W_Call incomplete files - Incident No. Application_778384326,0.64315,
O_Returned - Incident No. Application_1029175063,0.63397,
W_Complete application - Incident No. Application_462387356,0.62007,
W_Call after offers - Incident No. Application_1721360224,0.61997,
W_Handle leads - Incident No. Application_455007935,0.60963,
W_Call after offers - Incident No. Application_536734637,0.59588,
W_Call after offers - Incident No. Application_1034933187,0.59345,
W_Call after offers - Incident No. Application_1012472852,0.58187,
W_Call after offers - Incident No. Application_702518958,0.57772,
O_Sent (mail and online) - Incident No. Application_382630368,0.56417,
W_Call after ofrs. - Incident No. Application_1176104412,0.55733,
W_Call after offers - Incident No. Application_1862468287,0.55625,
O_Returned - Incident No. Application_1119637300,0.55178,
W_Call after offers - Incident No. Application_765582616,0.53953,
W_Handle leads - Incident No. Application_1623509076,0.53902,
W_Call after offers - Incident No. Application_1201885222,0.53375,
O_Sent (mail and online) - Incident No. Application_381853207,0.52062,
W_Complete appl. - Incident No. Application_851404045,0.51265,
W_Call after offers - Incident No. Application_1374343559,0.50593,
W_Call after offers - Incident No. Application_518506652,0.49665,
W_Complete application - Incident No. Application_1980808706,0.46457,
W_Call after offers - Incident No. Application_565667109,0.46237,
W_Call after offers - Incident No. Application_1962706192,0.46218,
O_Sent (mail and online) - Incident No. Application_1326200178,0.46103,
W_Handle leads - Incident No. Application_1796402362,0.45683,
W_Call incompl. files - Incident No. Application_454171733,0.44567,
W_Call after offers - Incident No. Application_685199365,0.4368,
W_Call after offers - Incident No. Application_1602207403,0.42975,
W_Call after offers - Incident No. Application_650341111,0.39958,
O_Create Offer - Incident No. Application_1939640271,0.38282,
W_Call after offers - Incident No. Application_2025650024,0.38275,
O_Sent (mail and online) - Incident No. Application_1387055339,0.38027,
O_Sent (mail and online) - Incident No. Application_1791359571,0.37832,
W_Call after offers - Incident No. Application_48606429,0.37568,
W_Call after offers - Incident No. Application_947074551,0.36563,
W_Call after offers - Incident No. Application_984955968,0.3643,
W_Call after offers - Incident No. Application_1713552898,0.35608,
O_Sent (mail and online) - Incident No. Application_68310370,0.347,
W_Call incomplete files - Incident No. Application_666795476,0.34658,
W_Call after offers - Incident No. Application_1521046595,0.34098,
W_Call incomplete files - Incident No. Application_579746230,0.34083,
O_Returned - Incident No. Application_1939318281,0.33827,
W_Call after offers - Incident No. Application_1242485588,0.33792,
W_Call after offers - Incident No. Application_1403717247,0.3379,
W_Call after offers - Incident No. Application_2055127854,0.33635,
